TABLE_NAME	COLUMN_NAME	DATA_TYPE	MAX_LENGTH	IS_NULLABLE	DEFAULT_VALUE	PRIMARY_KEY	FOREIGN_KEY	REFERENCED_TABLE	REFERENCED_COLUMN	UNIQUE_KEY
account_deletions	id	int	4	NO	NULL	PK_account_deletions_id	NULL	NULL	NULL	NULL
account_deletions	person_id	int	4	YES	(NULL)	NULL	NULL	NULL	NULL	account_deletions$index_account_deletions_on_person_id
account_deletions	completed_at	datetime2	6	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
account_migrations	id	bigint	8	NO	NULL	PK_account_migrations_id	NULL	NULL	NULL	NULL
account_migrations	old_person_id	int	4	NO	NULL	NULL	NULL	NULL	NULL	account_migrations$index_account_migrations_on_old_person_id
account_migrations	old_person_id	int	4	NO	NULL	NULL	NULL	NULL	NULL	account_migrations$index_account_migrations_on_old_person_id_and_new_person_id
account_migrations	new_person_id	int	4	NO	NULL	NULL	account_migrations$fk_rails_610fe19943	people	id	account_migrations$index_account_migrations_on_old_person_id_and_new_person_id
account_migrations	completed_at	datetime2	6	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
ar_internal_metadata	key	nvarchar	510	NO	NULL	PK_ar_internal_metadata_key	NULL	NULL	NULL	NULL
ar_internal_metadata	value	nvarchar	510	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
ar_internal_metadata	created_at	datetime2	6	NO	NULL	NULL	NULL	NULL	NULL	NULL
ar_internal_metadata	updated_at	datetime2	6	NO	NULL	NULL	NULL	NULL	NULL	NULL
aspect_memberships	id	int	4	NO	NULL	PK_aspect_memberships_id	NULL	NULL	NULL	NULL
aspect_memberships	aspect_id	int	4	NO	NULL	NULL	NULL	NULL	NULL	aspect_memberships$index_aspect_memberships_on_aspect_id_and_contact_id
aspect_memberships	contact_id	int	4	NO	NULL	NULL	NULL	NULL	NULL	aspect_memberships$index_aspect_memberships_on_aspect_id_and_contact_id
aspect_memberships	created_at	datetime2	6	NO	NULL	NULL	NULL	NULL	NULL	NULL
aspect_memberships	updated_at	datetime2	6	NO	NULL	NULL	NULL	NULL	NULL	NULL
aspect_visibilities	id	int	4	NO	NULL	PK_aspect_visibilities_id	NULL	NULL	NULL	NULL
aspect_visibilities	shareable_id	int	4	NO	NULL	NULL	NULL	NULL	NULL	aspect_visibilities$index_aspect_visibilities_on_shareable_and_aspect_id
aspect_visibilities	aspect_id	int	4	NO	NULL	NULL	NULL	NULL	NULL	aspect_visibilities$index_aspect_visibilities_on_shareable_and_aspect_id
aspect_visibilities	shareable_type	nvarchar	510	NO	(N'Post')	NULL	NULL	NULL	NULL	aspect_visibilities$index_aspect_visibilities_on_shareable_and_aspect_id
aspects	id	int	4	NO	NULL	PK_aspects_id	NULL	NULL	NULL	NULL
aspects	name	nvarchar	510	NO	NULL	NULL	NULL	NULL	NULL	aspects$index_aspects_on_user_id_and_name
aspects	user_id	int	4	NO	NULL	NULL	NULL	NULL	NULL	aspects$index_aspects_on_user_id_and_name
aspects	created_at	datetime2	6	NO	NULL	NULL	NULL	NULL	NULL	NULL
aspects	updated_at	datetime2	6	NO	NULL	NULL	NULL	NULL	NULL	NULL
aspects	order_id	int	4	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
aspects	post_default	smallint	2	YES	((1))	NULL	NULL	NULL	NULL	NULL
authorizations	id	int	4	NO	NULL	PK_authorizations_id	NULL	NULL	NULL	NULL
authorizations	user_id	int	4	YES	(NULL)	NULL	authorizations$fk_rails_4ecef5b8c5	users	id	NULL
authorizations	o_auth_application_id	int	4	YES	(NULL)	NULL	authorizations$fk_rails_e166644de5	o_auth_applications	id	NULL
authorizations	refresh_token	nvarchar	510	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
authorizations	code	nvarchar	510	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
authorizations	redirect_uri	nvarchar	510	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
authorizations	nonce	nvarchar	510	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
authorizations	scopes	nvarchar	-1	YES	NULL	NULL	NULL	NULL	NULL	NULL
authorizations	code_used	smallint	2	YES	((0))	NULL	NULL	NULL	NULL	NULL
authorizations	created_at	datetime2	6	NO	NULL	NULL	NULL	NULL	NULL	NULL
authorizations	updated_at	datetime2	6	NO	NULL	NULL	NULL	NULL	NULL	NULL
blocks	id	int	4	NO	NULL	PK_blocks_id	NULL	NULL	NULL	NULL
blocks	user_id	int	4	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
blocks	person_id	int	4	NO	(NULL)	NULL	blocks_people_id_fk	people	id	NULL
comment_signatures	comment_id	int	4	NO	NULL	NULL	NULL	NULL	NULL	comment_signatures$index_comment_signatures_on_comment_id
comment_signatures	author_signature	nvarchar	-1	NO	NULL	NULL	NULL	NULL	NULL	NULL
comment_signatures	signature_order_id	int	4	NO	NULL	NULL	comment_signatures$comment_signatures_signature_orders_id_fk	signature_orders	id	NULL
comment_signatures	additional_data	nvarchar	-1	YES	NULL	NULL	NULL	NULL	NULL	NULL
comments	id	int	4	NO	NULL	PK_comments_id	NULL	NULL	NULL	NULL
comments	text	nvarchar	-1	NO	NULL	NULL	NULL	NULL	NULL	NULL
comments	commentable_id	int	4	NO	NULL	NULL	NULL	NULL	NULL	NULL
comments	author_id	int	4	NO	NULL	NULL	NULL	NULL	NULL	NULL
comments	guid	nvarchar	510	NO	NULL	NULL	NULL	NULL	NULL	comments$index_comments_on_guid
comments	created_at	datetime2	6	NO	NULL	NULL	NULL	NULL	NULL	NULL
comments	updated_at	datetime2	6	NO	NULL	NULL	NULL	NULL	NULL	NULL
comments	likes_count	int	4	NO	((0))	NULL	NULL	NULL	NULL	NULL
comments	commentable_type	nvarchar	120	NO	(N'Post')	NULL	NULL	NULL	NULL	NULL
contacts	id	int	4	NO	NULL	PK_contacts_id	NULL	NULL	NULL	NULL
contacts	user_id	int	4	NO	NULL	NULL	NULL	NULL	NULL	contacts$index_contacts_on_user_id_and_person_id
contacts	person_id	int	4	NO	NULL	NULL	NULL	NULL	NULL	contacts$index_contacts_on_user_id_and_person_id
contacts	created_at	datetime2	6	NO	NULL	NULL	NULL	NULL	NULL	NULL
contacts	updated_at	datetime2	6	NO	NULL	NULL	NULL	NULL	NULL	NULL
contacts	sharing	smallint	2	NO	((0))	NULL	NULL	NULL	NULL	NULL
contacts	receiving	smallint	2	NO	((0))	NULL	NULL	NULL	NULL	NULL
conversation_visibilities	id	int	4	NO	NULL	PK_conversation_visibilities_id	NULL	NULL	NULL	NULL
conversation_visibilities	conversation_id	int	4	NO	NULL	NULL	NULL	NULL	NULL	conversation_visibilities$index_conversation_visibilities_usefully
conversation_visibilities	person_id	int	4	NO	NULL	NULL	conversation_visibilities$conversation_visibilities_person_id_fk	people	id	conversation_visibilities$index_conversation_visibilities_usefully
conversation_visibilities	unread	int	4	NO	((0))	NULL	NULL	NULL	NULL	NULL
conversation_visibilities	created_at	datetime2	6	NO	NULL	NULL	NULL	NULL	NULL	NULL
