TABLE_NAME	COLUMN_NAME	DATA_TYPE	MAX_LENGTH	IS_NULLABLE	DEFAULT_VALUE	PRIMARY_KEY	FOREIGN_KEY	REFERENCED_TABLE	REFERENCED_COLUMN	UNIQUE_KEY
anonymous_users	id	bigint	8	NO	NULL	anonymous_users_pkey	NULL	NULL	NULL	NULL
anonymous_users	user_id	int	4	NO	NULL	NULL	NULL	NULL	NULL	NULL
anonymous_users	master_user_id	int	4	NO	NULL	NULL	NULL	NULL	NULL	NULL
anonymous_users	active	bit	1	NO	NULL	NULL	NULL	NULL	NULL	NULL
anonymous_users	created_at	datetime	8	NO	NULL	NULL	NULL	NULL	NULL	NULL
anonymous_users	updated_at	datetime	8	NO	NULL	NULL	NULL	NULL	NULL	NULL
api_keys	id	int	4	NO	NULL	api_keys_pkey	NULL	NULL	NULL	NULL
api_keys	user_id	int	4	YES	NULL	NULL	NULL	NULL	NULL	NULL
api_keys	created_by_id	int	4	YES	NULL	NULL	NULL	NULL	NULL	NULL
api_keys	created_at	datetime	8	NO	NULL	NULL	NULL	NULL	NULL	NULL
api_keys	updated_at	datetime	8	NO	NULL	NULL	NULL	NULL	NULL	NULL
api_keys	allowed_ips	varchar	-1	YES	NULL	NULL	NULL	NULL	NULL	NULL
api_keys	hidden	bit	1	NO	((0))	NULL	NULL	NULL	NULL	NULL
api_keys	last_used_at	datetime	8	YES	NULL	NULL	NULL	NULL	NULL	NULL
api_keys	revoked_at	datetime	8	YES	NULL	NULL	NULL	NULL	NULL	NULL
api_keys	description	varchar	-1	YES	NULL	NULL	NULL	NULL	NULL	NULL
api_keys	key_hash	varchar	-1	NO	NULL	NULL	NULL	NULL	NULL	NULL
api_keys	truncated_key	varchar	-1	NO	NULL	NULL	NULL	NULL	NULL	NULL
application_requests	id	int	4	NO	NULL	application_requests_pkey	NULL	NULL	NULL	NULL
application_requests	date	date	3	NO	NULL	NULL	NULL	NULL	NULL	NULL
application_requests	req_type	int	4	NO	NULL	NULL	NULL	NULL	NULL	NULL
application_requests	count	int	4	NO	((0))	NULL	NULL	NULL	NULL	NULL
ar_internal_metadata	key	varchar	-1	NO	NULL	NULL	NULL	NULL	NULL	NULL
ar_internal_metadata	value	varchar	-1	YES	NULL	NULL	NULL	NULL	NULL	NULL
