TABLE_NAME	COLUMN_NAME	DATA_TYPE	MAX_LENGTH	IS_NULLABLE	DEFAULT_VALUE	PRIMARY_KEY	FOREIGN_KEY	REFERENCED_TABLE	REFERENCED_COLUMN	UNIQUE_KEY
ar_internal_metadata	key	nvarchar	510	NO	NULL	PK_ar_internal_metadata_key	NULL	NULL	NULL	NULL
ar_internal_metadata	value	nvarchar	510	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
ar_internal_metadata	created_at	datetime2	6	NO	NULL	NULL	NULL	NULL	NULL	NULL
ar_internal_metadata	updated_at	datetime2	6	NO	NULL	NULL	NULL	NULL	NULL	NULL
comments	id	numeric	13	NO	NULL	PK_comments_id	NULL	NULL	NULL	NULL
comments	created_at	datetime2	6	NO	NULL	NULL	NULL	NULL	NULL	NULL
comments	updated_at	datetime2	6	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
comments	short_id	nvarchar	20	NO	(N'')	NULL	NULL	NULL	NULL	comments$short_id
comments	story_id	numeric	13	NO	NULL	NULL	comments$comments_story_id_fk	stories	id	NULL
comments	user_id	numeric	13	NO	NULL	NULL	comments$comments_user_id_fk	users	id	NULL
comments	parent_comment_id	numeric	13	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
comments	thread_id	numeric	13	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
comments	comment	nvarchar	-1	NO	NULL	NULL	NULL	NULL	NULL	NULL
comments	upvotes	int	4	NO	((0))	NULL	NULL	NULL	NULL	NULL
comments	downvotes	int	4	NO	((0))	NULL	NULL	NULL	NULL	NULL
comments	confidence	decimal	13	NO	((0.0000000000000000000))	NULL	NULL	NULL	NULL	NULL
comments	markeddown_comment	nvarchar	-1	YES	NULL	NULL	NULL	NULL	NULL	NULL
comments	is_deleted	smallint	2	YES	((0))	NULL	NULL	NULL	NULL	NULL
comments	is_moderated	smallint	2	YES	((0))	NULL	NULL	NULL	NULL	NULL
comments	is_from_email	smallint	2	YES	((0))	NULL	NULL	NULL	NULL	NULL
comments	hat_id	numeric	13	YES	(NULL)	NULL	comments$comments_hat_id_fk	hats	id	NULL
domains	id	bigint	8	NO	NULL	PK_domains_id	NULL	NULL	NULL	NULL
domains	domain	nvarchar	510	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
domains	is_tracker	smallint	2	NO	((0))	NULL	NULL	NULL	NULL	NULL
domains	created_at	datetime2	6	NO	NULL	NULL	NULL	NULL	NULL	NULL
domains	updated_at	datetime2	6	NO	NULL	NULL	NULL	NULL	NULL	NULL
domains	banned_at	datetime2	6	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
domains	banned_by_user_id	int	4	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
domains	banned_reason	nvarchar	400	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
hat_requests	id	numeric	13	NO	NULL	PK_hat_requests_id	NULL	NULL	NULL	NULL
hat_requests	created_at	datetime2	6	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
hat_requests	updated_at	datetime2	6	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
hat_requests	user_id	numeric	13	NO	NULL	NULL	hat_requests$hat_requests_user_id_fk	users	id	NULL
hat_requests	hat	nvarchar	510	NO	NULL	NULL	NULL	NULL	NULL	NULL
hat_requests	link	nvarchar	510	NO	NULL	NULL	NULL	NULL	NULL	NULL
hat_requests	comment	nvarchar	-1	NO	NULL	NULL	NULL	NULL	NULL	NULL
hats	id	numeric	13	NO	NULL	PK_hats_id	NULL	NULL	NULL	NULL
hats	created_at	datetime2	6	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
hats	updated_at	datetime2	6	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
hats	user_id	numeric	13	NO	NULL	NULL	NULL	NULL	NULL	NULL
hats	granted_by_user_id	numeric	13	NO	NULL	NULL	NULL	NULL	NULL	NULL
hats	hat	nvarchar	510	NO	NULL	NULL	NULL	NULL	NULL	NULL
hats	link	nvarchar	510	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
hats	modlog_use	smallint	2	YES	((0))	NULL	NULL	NULL	NULL	NULL
hats	doffed_at	datetime2	6	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
hidden_stories	id	numeric	13	NO	NULL	PK_hidden_stories_id	NULL	NULL	NULL	NULL
hidden_stories	user_id	numeric	13	NO	NULL	NULL	hidden_stories$hidden_stories_user_id_fk	users	id	hidden_stories$index_hidden_stories_on_user_id_and_story_id
hidden_stories	story_id	numeric	13	NO	NULL	NULL	hidden_stories$hidden_stories_story_id_fk	stories	id	hidden_stories$index_hidden_stories_on_user_id_and_story_id
invitation_requests	id	numeric	13	NO	NULL	PK_invitation_requests_id	NULL	NULL	NULL	NULL
invitation_requests	code	nvarchar	510	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
invitation_requests	is_verified	smallint	2	YES	((0))	NULL	NULL	NULL	NULL	NULL
invitation_requests	email	nvarchar	510	NO	NULL	NULL	NULL	NULL	NULL	NULL
invitation_requests	name	nvarchar	510	NO	NULL	NULL	NULL	NULL	NULL	NULL
invitation_requests	memo	nvarchar	-1	YES	NULL	NULL	NULL	NULL	NULL	NULL
invitation_requests	ip_address	nvarchar	510	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
invitation_requests	created_at	datetime2	6	NO	NULL	NULL	NULL	NULL	NULL	NULL
invitation_requests	updated_at	datetime2	6	NO	NULL	NULL	NULL	NULL	NULL	NULL
invitations	id	numeric	13	NO	NULL	PK_invitations_id	NULL	NULL	NULL	NULL
invitations	user_id	numeric	13	NO	NULL	NULL	NULL	NULL	NULL	NULL
invitations	email	nvarchar	510	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
invitations	code	nvarchar	510	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
invitations	created_at	datetime2	6	NO	NULL	NULL	NULL	NULL	NULL	NULL
invitations	updated_at	datetime2	6	NO	NULL	NULL	NULL	NULL	NULL	NULL
invitations	memo	nvarchar	-1	YES	NULL	NULL	NULL	NULL	NULL	NULL
invitations	used_at	datetime2	6	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
invitations	new_user_id	numeric	13	YES	(NULL)	NULL	invitations$invitations_new_user_id_fk	users	id	NULL
keystores	key	nvarchar	100	NO	(N'')	NULL	NULL	NULL	NULL	keystores$key
keystores	value	bigint	8	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
messages	id	numeric	13	NO	NULL	PK_messages_id	NULL	NULL	NULL	NULL
messages	created_at	datetime2	6	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
messages	author_user_id	numeric	13	NO	NULL	NULL	messages$messages_ibfk_1	users	id	NULL
messages	recipient_user_id	numeric	13	NO	NULL	NULL	NULL	NULL	NULL	NULL
messages	has_been_read	smallint	2	YES	((0))	NULL	NULL	NULL	NULL	NULL
messages	subject	nvarchar	200	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
messages	body	nvarchar	-1	YES	NULL	NULL	NULL	NULL	NULL	NULL
messages	short_id	nvarchar	60	YES	(NULL)	NULL	NULL	NULL	NULL	messages$random_hash
messages	deleted_by_author	smallint	2	YES	((0))	NULL	NULL	NULL	NULL	NULL
messages	deleted_by_recipient	smallint	2	YES	((0))	NULL	NULL	NULL	NULL	NULL
messages	hat_id	numeric	13	YES	(NULL)	NULL	messages$messages_hat_id_fk	hats	id	NULL
mod_notes	id	numeric	13	NO	NULL	PK_mod_notes_id	NULL	NULL	NULL	NULL
mod_notes	moderator_user_id	numeric	13	NO	NULL	NULL	mod_notes$mod_notes_moderator_user_id_fk	users	id	NULL
mod_notes	user_id	numeric	13	NO	NULL	NULL	NULL	NULL	NULL	NULL
mod_notes	note	nvarchar	-1	NO	NULL	NULL	NULL	NULL	NULL	NULL
mod_notes	markeddown_note	nvarchar	-1	NO	NULL	NULL	NULL	NULL	NULL	NULL
mod_notes	created_at	datetime2	6	NO	NULL	NULL	NULL	NULL	NULL	NULL
moderations	id	numeric	13	NO	NULL	PK_moderations_id	NULL	NULL	NULL	NULL
moderations	created_at	datetime2	6	NO	NULL	NULL	NULL	NULL	NULL	NULL
moderations	updated_at	datetime2	6	NO	NULL	NULL	NULL	NULL	NULL	NULL
moderations	moderator_user_id	numeric	13	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
moderations	story_id	numeric	13	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
moderations	comment_id	numeric	13	YES	(NULL)	NULL	moderations$moderations_comment_id_fk	comments	id	NULL
moderations	user_id	numeric	13	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
moderations	action	nvarchar	-1	YES	NULL	NULL	NULL	NULL	NULL	NULL
moderations	reason	nvarchar	-1	YES	NULL	NULL	NULL	NULL	NULL	NULL
moderations	is_from_suggestions	smallint	2	YES	((0))	NULL	NULL	NULL	NULL	NULL
moderations	tag_id	numeric	13	YES	(NULL)	NULL	moderations$moderations_tag_id_fk	tags	id	NULL
moderations	domain_id	int	4	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
read_ribbons	id	numeric	13	NO	NULL	PK_read_ribbons_id	NULL	NULL	NULL	NULL
read_ribbons	is_following	smallint	2	YES	((1))	NULL	NULL	NULL	NULL	NULL
read_ribbons	created_at	datetime2	6	NO	NULL	NULL	NULL	NULL	NULL	NULL
read_ribbons	updated_at	datetime2	6	NO	NULL	NULL	NULL	NULL	NULL	NULL
read_ribbons	user_id	numeric	13	NO	NULL	NULL	read_ribbons$read_ribbons_user_id_fk	users	id	NULL
read_ribbons	story_id	numeric	13	NO	NULL	NULL	read_ribbons$read_ribbons_story_id_fk	stories	id	NULL
saved_stories	id	numeric	13	NO	NULL	PK_saved_stories_id	NULL	NULL	NULL	NULL
saved_stories	created_at	datetime2	6	NO	NULL	NULL	NULL	NULL	NULL	NULL
saved_stories	updated_at	datetime2	6	NO	NULL	NULL	NULL	NULL	NULL	NULL
saved_stories	user_id	numeric	13	NO	NULL	NULL	saved_stories$saved_stories_user_id_fk	users	id	saved_stories$index_saved_stories_on_user_id_and_story_id
saved_stories	story_id	numeric	13	NO	NULL	NULL	saved_stories$saved_stories_story_id_fk	stories	id	saved_stories$index_saved_stories_on_user_id_and_story_id
schema_migrations	version	nvarchar	510	NO	NULL	PK_schema_migrations_version	NULL	NULL	NULL	NULL
stories	id	numeric	13	NO	NULL	PK_stories_id	NULL	NULL	NULL	NULL
stories	created_at	datetime2	6	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
stories	user_id	numeric	13	NO	NULL	NULL	NULL	NULL	NULL	NULL
stories	url	nvarchar	500	YES	(N'')	NULL	NULL	NULL	NULL	NULL
stories	title	nvarchar	300	NO	(N'')	NULL	NULL	NULL	NULL	NULL
stories	description	nvarchar	-1	YES	NULL	NULL	NULL	NULL	NULL	NULL
stories	short_id	nvarchar	12	NO	(N'')	NULL	NULL	NULL	NULL	stories$unique_short_id
stories	is_expired	smallint	2	NO	((0))	NULL	NULL	NULL	NULL	NULL
stories	upvotes	bigint	8	NO	((0))	NULL	NULL	NULL	NULL	NULL
stories	downvotes	bigint	8	NO	((0))	NULL	NULL	NULL	NULL	NULL
stories	is_moderated	smallint	2	NO	((0))	NULL	NULL	NULL	NULL	NULL
stories	hotness	decimal	13	NO	((0.0000000000))	NULL	NULL	NULL	NULL	NULL
stories	markeddown_description	nvarchar	-1	YES	NULL	NULL	NULL	NULL	NULL	NULL
stories	story_cache	nvarchar	-1	YES	NULL	NULL	NULL	NULL	NULL	NULL
stories	comments_count	int	4	NO	((0))	NULL	NULL	NULL	NULL	NULL
stories	merged_story_id	numeric	13	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
stories	unavailable_at	datetime2	6	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
stories	twitter_id	nvarchar	40	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
stories	user_is_author	smallint	2	YES	((0))	NULL	NULL	NULL	NULL	NULL
stories	user_is_following	smallint	2	NO	((0))	NULL	NULL	NULL	NULL	NULL
stories	domain_id	bigint	8	YES	(NULL)	NULL	stories$fk_rails_a04bca56b0	domains	id	NULL
suggested_taggings	id	numeric	13	NO	NULL	PK_suggested_taggings_id	NULL	NULL	NULL	NULL
suggested_taggings	story_id	numeric	13	NO	NULL	NULL	suggested_taggings$suggested_taggings_story_id_fk	stories	id	NULL
suggested_taggings	tag_id	numeric	13	NO	NULL	NULL	suggested_taggings$suggested_taggings_tag_id_fk	tags	id	NULL
suggested_taggings	user_id	numeric	13	NO	NULL	NULL	suggested_taggings$suggested_taggings_user_id_fk	users	id	NULL
suggested_titles	id	numeric	13	NO	NULL	PK_suggested_titles_id	NULL	NULL	NULL	NULL
suggested_titles	story_id	numeric	13	NO	NULL	NULL	suggested_titles$suggested_titles_story_id_fk	stories	id	NULL
suggested_titles	user_id	numeric	13	NO	NULL	NULL	suggested_titles$suggested_titles_user_id_fk	users	id	NULL
suggested_titles	title	nvarchar	300	NO	(N'')	NULL	NULL	NULL	NULL	NULL
tag_filters	id	numeric	13	NO	NULL	PK_tag_filters_id	NULL	NULL	NULL	NULL
tag_filters	created_at	datetime2	6	NO	NULL	NULL	NULL	NULL	NULL	NULL
tag_filters	updated_at	datetime2	6	NO	NULL	NULL	NULL	NULL	NULL	NULL
tag_filters	user_id	numeric	13	NO	NULL	NULL	tag_filters$tag_filters_user_id_fk	users	id	NULL
tag_filters	tag_id	numeric	13	NO	NULL	NULL	tag_filters$tag_filters_tag_id_fk	tags	id	NULL
taggings	id	numeric	13	NO	NULL	PK_taggings_id	NULL	NULL	NULL	NULL
taggings	story_id	numeric	13	NO	NULL	NULL	taggings$taggings_story_id_fk	stories	id	taggings$story_id_tag_id
taggings	tag_id	numeric	13	NO	NULL	NULL	NULL	NULL	NULL	taggings$story_id_tag_id
tags	id	numeric	13	NO	NULL	PK_tags_id	NULL	NULL	NULL	NULL
tags	tag	nvarchar	50	NO	NULL	NULL	NULL	NULL	NULL	tags$tag
tags	description	nvarchar	200	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
tags	privileged	smallint	2	YES	((0))	NULL	NULL	NULL	NULL	NULL
tags	is_media	smallint	2	YES	((0))	NULL	NULL	NULL	NULL	NULL
tags	inactive	smallint	2	YES	((0))	NULL	NULL	NULL	NULL	NULL
tags	hotness_mod	real	4	YES	((0))	NULL	NULL	NULL	NULL	NULL
tags	permit_by_new_users	smallint	2	NO	((1))	NULL	NULL	NULL	NULL	NULL
users	id	numeric	13	NO	NULL	PK_users_id	NULL	NULL	NULL	NULL
users	username	nvarchar	100	YES	(NULL)	NULL	NULL	NULL	NULL	users$username
users	email	nvarchar	200	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
users	password_digest	nvarchar	150	YES	(NULL)	NULL	NULL	NULL	NULL	NULL
