TABLE_NAME	COLUMN_NAME	DATA_TYPE	MAX_LENGTH	IS_NULLABLE	DEFAULT_VALUE	PRIMARY_KEY	FOREIGN_KEY	REFERENCED_TABLE	REFERENCED_COLUMN
account_deletions	id	int	4	NO	NULL	PK_account_deletions_id	NULL	NULL	NULL
account_deletions	person_id	int	4	YES	(NULL)	NULL	NULL	NULL	NULL
account_deletions	completed_at	datetime2	6	YES	(NULL)	NULL	NULL	NULL	NULL
account_migrations	id	bigint	8	NO	NULL	PK_account_migrations_id	NULL	NULL	NULL
account_migrations	old_person_id	int	4	NO	NULL	NULL	NULL	NULL	NULL
account_migrations	new_person_id	int	4	NO	NULL	NULL	account_migrations$fk_rails_610fe19943	people	id
account_migrations	completed_at	datetime2	6	YES	(NULL)	NULL	NULL	NULL	NULL
ar_internal_metadata	key	nvarchar	510	NO	NULL	PK_ar_internal_metadata_key	NULL	NULL	NULL
ar_internal_metadata	value	nvarchar	510	YES	(NULL)	NULL	NULL	NULL	NULL
ar_internal_metadata	created_at	datetime2	6	NO	NULL	NULL	NULL	NULL	NULL
ar_internal_metadata	updated_at	datetime2	6	NO	NULL	NULL	NULL	NULL	NULL
aspect_memberships	id	int	4	NO	NULL	PK_aspect_memberships_id	NULL	NULL	NULL
aspect_memberships	aspect_id	int	4	NO	NULL	NULL	NULL	NULL	NULL
aspect_memberships	contact_id	int	4	NO	NULL	NULL	NULL	NULL	NULL
aspect_memberships	created_at	datetime2	6	NO	NULL	NULL	NULL	NULL	NULL
aspect_memberships	updated_at	datetime2	6	NO	NULL	NULL	NULL	NULL	NULL
aspect_visibilities	id	int	4	NO	NULL	PK_aspect_visibilities_id	NULL	NULL	NULL
aspect_visibilities	shareable_id	int	4	NO	NULL	NULL	NULL	NULL	NULL
aspect_visibilities	aspect_id	int	4	NO	NULL	NULL	NULL	NULL	NULL
aspect_visibilities	shareable_type	nvarchar	510	NO	(N'Post')	NULL	NULL	NULL	NULL
aspects	id	int	4	NO	NULL	PK_aspects_id	NULL	NULL	NULL
aspects	name	nvarchar	510	NO	NULL	NULL	NULL	NULL	NULL
aspects	user_id	int	4	NO	NULL	NULL	NULL	NULL	NULL
aspects	created_at	datetime2	6	NO	NULL	NULL	NULL	NULL	NULL
aspects	updated_at	datetime2	6	NO	NULL	NULL	NULL	NULL	NULL
aspects	order_id	int	4	YES	(NULL)	NULL	NULL	NULL	NULL
aspects	post_default	smallint	2	YES	((1))	NULL	NULL	NULL	NULL
authorizations	id	int	4	NO	NULL	PK_authorizations_id	NULL	NULL	NULL
authorizations	user_id	int	4	YES	(NULL)	NULL	authorizations$fk_rails_4ecef5b8c5	users	id
authorizations	o_auth_application_id	int	4	YES	(NULL)	NULL	authorizations$fk_rails_e166644de5	o_auth_applications	id
authorizations	refresh_token	nvarchar	510	YES	(NULL)	NULL	NULL	NULL	NULL
authorizations	code	nvarchar	510	YES	(NULL)	NULL	NULL	NULL	NULL
authorizations	redirect_uri	nvarchar	510	YES	(NULL)	NULL	NULL	NULL	NULL
authorizations	nonce	nvarchar	510	YES	(NULL)	NULL	NULL	NULL	NULL
authorizations	scopes	nvarchar	-1	YES	NULL	NULL	NULL	NULL	NULL
authorizations	code_used	smallint	2	YES	((0))	NULL	NULL	NULL	NULL
authorizations	created_at	datetime2	6	NO	NULL	NULL	NULL	NULL	NULL
authorizations	updated_at	datetime2	6	NO	NULL	NULL	NULL	NULL	NULL
blocks	id	int	4	NO	NULL	PK_blocks_id	NULL	NULL	NULL
blocks	user_id	int	4	YES	(NULL)	NULL	NULL	NULL	NULL
