TABLE_NAME	COLUMN_NAME	DATA_TYPE	MAX_LENGTH	IS_NULLABLE	DEFAULT_VALUE	PRIMARY_KEY	FOREIGN_KEY	REFERENCED_TABLE	REFERENCED_COLUMN
abuse_reports	id	int	4	NO	NULL	abuse_reports_pkey	NULL	NULL	NULL
abuse_reports	reporter_id	int	4	YES	NULL	NULL	NULL	NULL	NULL
abuse_reports	user_id	int	4	YES	NULL	NULL	NULL	NULL	NULL
abuse_reports	message	varchar	-1	YES	NULL	NULL	NULL	NULL	NULL
abuse_reports	created_at	datetime	8	YES	NULL	NULL	NULL	NULL	NULL
abuse_reports	updated_at	datetime	8	YES	NULL	NULL	NULL	NULL	NULL
abuse_reports	message_html	varchar	-1	YES	NULL	NULL	NULL	NULL	NULL
abuse_reports	cached_markdown_version	int	4	YES	NULL	NULL	NULL	NULL	NULL
alerts_service_data	id	bigint	8	NO	NULL	alerts_service_data_pkey	NULL	NULL	NULL
alerts_service_data	service_id	int	4	NO	NULL	NULL	NULL	NULL	NULL
alerts_service_data	created_at	datetimeoffset	10	NO	NULL	NULL	NULL	NULL	NULL
alerts_service_data	updated_at	datetimeoffset	10	NO	NULL	NULL	NULL	NULL	NULL
alerts_service_data	encrypted_token	varchar	255	YES	NULL	NULL	NULL	NULL	NULL
alerts_service_data	encrypted_token_iv	varchar	255	YES	NULL	NULL	NULL	NULL	NULL
allowed_email_domains	id	bigint	8	NO	NULL	allowed_email_domains_pkey	NULL	NULL	NULL
allowed_email_domains	created_at	datetimeoffset	10	NO	NULL	NULL	NULL	NULL	NULL
allowed_email_domains	updated_at	datetimeoffset	10	NO	NULL	NULL	NULL	NULL	NULL
allowed_email_domains	group_id	int	4	NO	NULL	NULL	NULL	NULL	NULL
allowed_email_domains	domain	varchar	255	NO	NULL	NULL	NULL	NULL	NULL
analytics_cycle_analytics_group_stages	id	bigint	8	NO	NULL	analytics_cycle_analytics_group_stages_pkey	NULL	NULL	NULL
analytics_cycle_analytics_group_stages	created_at	datetimeoffset	10	NO	NULL	NULL	NULL	NULL	NULL
analytics_cycle_analytics_group_stages	updated_at	datetimeoffset	10	NO	NULL	NULL	NULL	NULL	NULL
analytics_cycle_analytics_group_stages	relative_position	int	4	YES	NULL	NULL	NULL	NULL	NULL
analytics_cycle_analytics_group_stages	start_event_identifier	int	4	NO	NULL	NULL	NULL	NULL	NULL
analytics_cycle_analytics_group_stages	end_event_identifier	int	4	NO	NULL	NULL	NULL	NULL	NULL
analytics_cycle_analytics_group_stages	group_id	bigint	8	NO	NULL	NULL	NULL	NULL	NULL
analytics_cycle_analytics_group_stages	start_event_label_id	bigint	8	YES	NULL	NULL	NULL	NULL	NULL
analytics_cycle_analytics_group_stages	end_event_label_id	bigint	8	YES	NULL	NULL	NULL	NULL	NULL
analytics_cycle_analytics_group_stages	hidden	bit	1	NO	((0))	NULL	NULL	NULL	NULL
analytics_cycle_analytics_group_stages	custom	bit	1	NO	((1))	NULL	NULL	NULL	NULL
analytics_cycle_analytics_group_stages	name	varchar	255	NO	NULL	NULL	NULL	NULL	NULL
analytics_cycle_analytics_project_stages	id	bigint	8	NO	NULL	analytics_cycle_analytics_project_stages_pkey	NULL	NULL	NULL
analytics_cycle_analytics_project_stages	created_at	datetimeoffset	10	NO	NULL	NULL	NULL	NULL	NULL
analytics_cycle_analytics_project_stages	updated_at	datetimeoffset	10	NO	NULL	NULL	NULL	NULL	NULL
analytics_cycle_analytics_project_stages	relative_position	int	4	YES	NULL	NULL	NULL	NULL	NULL
analytics_cycle_analytics_project_stages	start_event_identifier	int	4	NO	NULL	NULL	NULL	NULL	NULL
analytics_cycle_analytics_project_stages	end_event_identifier	int	4	NO	NULL	NULL	NULL	NULL	NULL
analytics_cycle_analytics_project_stages	project_id	bigint	8	NO	NULL	NULL	NULL	NULL	NULL
analytics_cycle_analytics_project_stages	start_event_label_id	bigint	8	YES	NULL	NULL	NULL	NULL	NULL
analytics_cycle_analytics_project_stages	end_event_label_id	bigint	8	YES	NULL	NULL	NULL	NULL	NULL
analytics_cycle_analytics_project_stages	hidden	bit	1	NO	((0))	NULL	NULL	NULL	NULL
analytics_cycle_analytics_project_stages	custom	bit	1	NO	((1))	NULL	NULL	NULL	NULL
analytics_cycle_analytics_project_stages	name	varchar	255	NO	NULL	NULL	NULL	NULL	NULL
analytics_language_trend_repository_languages	file_count	int	4	NO	((0))	NULL	NULL	NULL	NULL
analytics_language_trend_repository_languages	programming_language_id	bigint	8	NO	NULL	NULL	NULL	NULL	NULL
analytics_language_trend_repository_languages	project_id	bigint	8	NO	NULL	NULL	NULL	NULL	NULL
analytics_language_trend_repository_languages	loc	int	4	NO	((0))	NULL	NULL	NULL	NULL
analytics_language_trend_repository_languages	bytes	int	4	NO	((0))	NULL	NULL	NULL	NULL
analytics_language_trend_repository_languages	percentage	smallint	2	NO	((0))	NULL	NULL	NULL	NULL
analytics_language_trend_repository_languages	snapshot_date	date	3	NO	NULL	NULL	NULL	NULL	NULL
appearances	id	int	4	NO	NULL	appearances_pkey	NULL	NULL	NULL
appearances	title	varchar	-1	NO	NULL	NULL	NULL	NULL	NULL
appearances	description	varchar	-1	NO	NULL	NULL	NULL	NULL	NULL
appearances	logo	varchar	-1	YES	NULL	NULL	NULL	NULL	NULL
appearances	updated_by	int	4	YES	NULL	NULL	NULL	NULL	NULL
appearances	header_logo	varchar	-1	YES	NULL	NULL	NULL	NULL	NULL
appearances	created_at	datetimeoffset	10	NO	NULL	NULL	NULL	NULL	NULL
appearances	updated_at	datetimeoffset	10	NO	NULL	NULL	NULL	NULL	NULL
appearances	description_html	varchar	-1	YES	NULL	NULL	NULL	NULL	NULL
appearances	cached_markdown_version	int	4	YES	NULL	NULL	NULL	NULL	NULL
appearances	new_project_guidelines	varchar	-1	YES	NULL	NULL	NULL	NULL	NULL
appearances	new_project_guidelines_html	varchar	-1	YES	NULL	NULL	NULL	NULL	NULL
appearances	header_message	varchar	-1	YES	NULL	NULL	NULL	NULL	NULL
appearances	header_message_html	varchar	-1	YES	NULL	NULL	NULL	NULL	NULL
appearances	footer_message	varchar	-1	YES	NULL	NULL	NULL	NULL	NULL
appearances	footer_message_html	varchar	-1	YES	NULL	NULL	NULL	NULL	NULL
appearances	message_background_color	varchar	-1	YES	NULL	NULL	NULL	NULL	NULL
appearances	message_font_color	varchar	-1	YES	NULL	NULL	NULL	NULL	NULL
