TABLE_NAME	COLUMN_NAME	DATA_TYPE	MAX_LENGTH	IS_NULLABLE	DEFAULT_VALUE	PRIMARY_KEY	FOREIGN_KEY	REFERENCED_TABLE	REFERENCED_COLUMN
action_mailbox_inbound_emails	id	bigint	8	NO	NULL	PK_action_mailbox_inbound_emails_id	NULL	NULL	NULL
action_mailbox_inbound_emails	status	int	4	NO	((0))	NULL	NULL	NULL	NULL
action_mailbox_inbound_emails	message_id	nvarchar	510	NO	NULL	NULL	NULL	NULL	NULL
action_mailbox_inbound_emails	message_checksum	nvarchar	510	NO	NULL	NULL	NULL	NULL	NULL
action_mailbox_inbound_emails	created_at	datetime2	8	NO	NULL	NULL	NULL	NULL	NULL
action_mailbox_inbound_emails	updated_at	datetime2	8	NO	NULL	NULL	NULL	NULL	NULL
action_text_rich_texts	id	bigint	8	NO	NULL	PK_action_text_rich_texts_id	NULL	NULL	NULL
action_text_rich_texts	name	nvarchar	510	NO	NULL	NULL	NULL	NULL	NULL
action_text_rich_texts	body	nvarchar	-1	YES	NULL	NULL	NULL	NULL	NULL
action_text_rich_texts	record_type	nvarchar	510	NO	NULL	NULL	NULL	NULL	NULL
action_text_rich_texts	record_id	bigint	8	NO	NULL	NULL	NULL	NULL	NULL
action_text_rich_texts	created_at	datetime2	8	NO	NULL	NULL	NULL	NULL	NULL
action_text_rich_texts	updated_at	datetime2	8	NO	NULL	NULL	NULL	NULL	NULL
active_storage_attachments	id	bigint	8	NO	NULL	PK_active_storage_attachments_id	NULL	NULL	NULL
active_storage_attachments	name	nvarchar	510	NO	NULL	NULL	NULL	NULL	NULL
active_storage_attachments	record_type	nvarchar	510	NO	NULL	NULL	NULL	NULL	NULL
active_storage_attachments	record_id	bigint	8	NO	NULL	NULL	NULL	NULL	NULL
active_storage_attachments	blob_id	bigint	8	NO	NULL	NULL	active_storage_attachments$fk_rails_c3b3935057	active_storage_blobs	id
active_storage_attachments	created_at	datetime2	6	NO	NULL	NULL	NULL	NULL	NULL
active_storage_blobs	id	bigint	8	NO	NULL	PK_active_storage_blobs_id	NULL	NULL	NULL
active_storage_blobs	key	nvarchar	510	NO	NULL	NULL	NULL	NULL	NULL
active_storage_blobs	filename	nvarchar	510	NO	NULL	NULL	NULL	NULL	NULL
active_storage_blobs	content_type	nvarchar	510	YES	(NULL)	NULL	NULL	NULL	NULL
active_storage_blobs	metadata	nvarchar	-1	YES	NULL	NULL	NULL	NULL	NULL
active_storage_blobs	byte_size	bigint	8	NO	NULL	NULL	NULL	NULL	NULL
active_storage_blobs	checksum	nvarchar	510	NO	NULL	NULL	NULL	NULL	NULL
active_storage_blobs	created_at	datetime2	6	NO	NULL	NULL	NULL	NULL	NULL
ar_internal_metadata	key	nvarchar	510	NO	NULL	PK_ar_internal_metadata_key	NULL	NULL	NULL
ar_internal_metadata	value	nvarchar	510	YES	(NULL)	NULL	NULL	NULL	NULL
ar_internal_metadata	created_at	datetime2	8	NO	NULL	NULL	NULL	NULL	NULL
ar_internal_metadata	updated_at	datetime2	8	NO	NULL	NULL	NULL	NULL	NULL
friendly_id_slugs	id	int	4	NO	NULL	PK_friendly_id_slugs_id	NULL	NULL	NULL
friendly_id_slugs	slug	nvarchar	510	NO	NULL	NULL	NULL	NULL	NULL
friendly_id_slugs	sluggable_id	int	4	NO	NULL	NULL	NULL	NULL	NULL
friendly_id_slugs	sluggable_type	nvarchar	100	YES	(NULL)	NULL	NULL	NULL	NULL
friendly_id_slugs	scope	nvarchar	510	YES	(NULL)	NULL	NULL	NULL	NULL
friendly_id_slugs	created_at	datetime2	6	YES	(NULL)	NULL	NULL	NULL	NULL
friendly_id_slugs	deleted_at	datetime2	6	YES	(NULL)	NULL	NULL	NULL	NULL
schema_migrations	version	nvarchar	510	NO	NULL	PK_schema_migrations_version	NULL	NULL	NULL
spree_addresses	id	int	4	NO	NULL	PK_spree_addresses_id	NULL	NULL	NULL
spree_addresses	firstname	nvarchar	510	YES	(NULL)	NULL	NULL	NULL	NULL
spree_addresses	lastname	nvarchar	510	YES	(NULL)	NULL	NULL	NULL	NULL
spree_addresses	address1	nvarchar	510	YES	(NULL)	NULL	NULL	NULL	NULL
spree_addresses	address2	nvarchar	510	YES	(NULL)	NULL	NULL	NULL	NULL
spree_addresses	city	nvarchar	510	YES	(NULL)	NULL	NULL	NULL	NULL
spree_addresses	zipcode	nvarchar	510	YES	(NULL)	NULL	NULL	NULL	NULL
spree_addresses	phone	nvarchar	510	YES	(NULL)	NULL	NULL	NULL	NULL
spree_addresses	state_name	nvarchar	510	YES	(NULL)	NULL	NULL	NULL	NULL
spree_addresses	alternative_phone	nvarchar	510	YES	(NULL)	NULL	NULL	NULL	NULL
spree_addresses	company	nvarchar	510	YES	(NULL)	NULL	NULL	NULL	NULL
spree_addresses	state_id	int	4	YES	(NULL)	NULL	NULL	NULL	NULL
spree_addresses	country_id	int	4	YES	(NULL)	NULL	NULL	NULL	NULL
spree_addresses	created_at	datetime2	8	NO	NULL	NULL	NULL	NULL	NULL
spree_addresses	updated_at	datetime2	8	NO	NULL	NULL	NULL	NULL	NULL
spree_addresses	user_id	int	4	YES	(NULL)	NULL	NULL	NULL	NULL
spree_addresses	deleted_at	datetime2	6	YES	(NULL)	NULL	NULL	NULL	NULL
spree_adjustments	id	int	4	NO	NULL	PK_spree_adjustments_id	NULL	NULL	NULL
spree_adjustments	source_type	nvarchar	510	YES	(NULL)	NULL	NULL	NULL	NULL
spree_adjustments	source_id	int	4	YES	(NULL)	NULL	NULL	NULL	NULL
spree_adjustments	adjustable_type	nvarchar	510	YES	(NULL)	NULL	NULL	NULL	NULL
spree_adjustments	adjustable_id	int	4	YES	(NULL)	NULL	NULL	NULL	NULL
spree_adjustments	amount	decimal	9	YES	(NULL)	NULL	NULL	NULL	NULL
spree_adjustments	label	nvarchar	510	YES	(NULL)	NULL	NULL	NULL	NULL
spree_adjustments	mandatory	smallint	2	YES	(NULL)	NULL	NULL	NULL	NULL
spree_adjustments	eligible	smallint	2	YES	((1))	NULL	NULL	NULL	NULL
spree_adjustments	created_at	datetime2	8	NO	NULL	NULL	NULL	NULL	NULL
spree_adjustments	updated_at	datetime2	8	NO	NULL	NULL	NULL	NULL	NULL
spree_adjustments	state	nvarchar	510	YES	(NULL)	NULL	NULL	NULL	NULL
spree_adjustments	order_id	int	4	NO	NULL	NULL	NULL	NULL	NULL
spree_adjustments	included	smallint	2	YES	((0))	NULL	NULL	NULL	NULL
spree_assets	id	int	4	NO	NULL	PK_spree_assets_id	NULL	NULL	NULL
spree_assets	viewable_type	nvarchar	510	YES	(NULL)	NULL	NULL	NULL	NULL
spree_assets	viewable_id	int	4	YES	(NULL)	NULL	NULL	NULL	NULL
spree_assets	attachment_width	int	4	YES	(NULL)	NULL	NULL	NULL	NULL
spree_assets	attachment_height	int	4	YES	(NULL)	NULL	NULL	NULL	NULL
spree_assets	attachment_file_size	int	4	YES	(NULL)	NULL	NULL	NULL	NULL
spree_assets	position	int	4	YES	(NULL)	NULL	NULL	NULL	NULL
spree_assets	attachment_content_type	nvarchar	510	YES	(NULL)	NULL	NULL	NULL	NULL
spree_assets	attachment_file_name	nvarchar	510	YES	(NULL)	NULL	NULL	NULL	NULL
spree_assets	type	nvarchar	150	YES	(NULL)	NULL	NULL	NULL	NULL
spree_assets	attachment_updated_at	datetime2	6	YES	(NULL)	NULL	NULL	NULL	NULL
spree_assets	alt	nvarchar	-1	YES	NULL	NULL	NULL	NULL	NULL
spree_assets	created_at	datetime2	6	YES	(NULL)	NULL	NULL	NULL	NULL
spree_assets	updated_at	datetime2	6	YES	(NULL)	NULL	NULL	NULL	NULL
spree_calculators	id	int	4	NO	NULL	PK_spree_calculators_id	NULL	NULL	NULL
spree_calculators	type	nvarchar	510	YES	(NULL)	NULL	NULL	NULL	NULL
spree_calculators	calculable_type	nvarchar	510	YES	(NULL)	NULL	NULL	NULL	NULL
